X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed
-84.5190311,34.5310756,0,0,0,342.74,2018/04/15 19:38:40+00,,,,,,,,,,,,,,,,,6,,,,,7.79
-84.5191696,34.5313758,0,0,1,343.74,2018/04/15 19:38:44+00,,,,,,,,,,,,,,,,,5,,,,,8.13
-84.5192192,34.5316001,0,0,2,345.74,2018/04/15 19:38:47+00,,,,,,,,,,,,,,,,,6,,,,,8.51
-84.5192332,34.5319063,0,0,3,340.74,2018/04/15 19:38:50+00,,,,,,,,,,,,,,,,,5,,,,,7.51
-84.519226,34.5320969,0,0,4,338.74,2018/04/15 19:38:53+00,,,,,,,,,,,,,,,,,6,,,,,6.54
-84.5192288,34.5322482,0,0,5,338.74,2018/04/15 19:38:57+00,,,,,,,,,,,,,,,,,7,,,,,5.64
-84.5192524,34.5323566,0,0,6,339.74,2018/04/15 19:39:00+00,,,,,,,,,,,,,,,,,7,,,,,3.56
-84.519351,34.5324881,0,0,7,342.74,2018/04/15 19:39:04+00,,,,,,,,,,,,,,,,,7,,,,,4.71
-84.5195326,34.5325954,0,0,8,340.74,2018/04/15 19:39:08+00,,,,,,,,,,,,,,,,,5,,,,,4.93
-84.5197916,34.5326917,0,0,9,341.74,2018/04/15 19:39:12+00,,,,,,,,,,,,,,,,,4,,,,,5.61
-84.5199992,34.5327873,0,0,10,343.74,2018/04/15 19:39:16+00,,,,,,,,,,,,,,,,,11,,,,,4.75
-84.5201129,34.5329894,0,0,11,346.74,2018/04/15 19:39:20+00,,,,,,,,,,,,,,,,,10,,,,,5.79
-84.520197,34.5331637,0,0,12,348.74,2018/04/15 19:39:23+00,,,,,,,,,,,,,,,,,10,,,,,6.54
-84.5202987,34.5333872,0,0,13,349.74,2018/04/15 19:39:27+00,,,,,,,,,,,,,,,,,9,,,,,6.76
-84.5203477,34.5336626,0,0,14,350.74,2018/04/15 19:39:31+00,,,,,,,,,,,,,,,,,9,,,,,7.36
-84.5204424,34.5338459,0,0,15,352.74,2018/04/15 19:39:34+00,,,,,,,,,,,,,,,,,10,,,,,7.45
-84.5205522,34.5340459,0,0,16,357.74,2018/04/15 19:39:37+00,,,,,,,,,,,,,,,,,10,,,,,6.8
-84.5206703,34.5342667,0,0,17,361.74,2018/04/15 19:39:41+00,,,,,,,,,,,,,,,,,11,,,,,6.98
-84.520849,34.534478,0,0,18,362.74,2018/04/15 19:39:45+00,,,,,,,,,,,,,,,,,10,,,,,6.85
-84.5210954,34.5346809,0,0,19,370.74,2018/04/15 19:39:48+00,,,,,,,,,,,,,,,,,11,,,,,7.48
-84.5212079,34.5348714,0,0,20,370.74,2018/04/15 19:39:52+00,,,,,,,,,,,,,,,,,10,,,,,8.02
-84.5213576,34.5351363,0,0,21,372.74,2018/04/15 19:39:55+00,,,,,,,,,,,,,,,,,10,,,,,7.51
-84.5216259,34.5353279,0,0,22,373.74,2018/04/15 19:39:59+00,,,,,,,,,,,,,,,,,10,,,,,7.94
-84.5218014,34.5354714,0,0,23,373.74,2018/04/15 19:40:03+00,,,,,,,,,,,,,,,,,11,,,,,7.33
-84.5220471,34.5356991,0,0,24,373.74,2018/04/15 19:40:07+00,,,,,,,,,,,,,,,,,11,,,,,7.9
-84.5222506,34.5359257,0,0,25,373.74,2018/04/15 19:40:10+00,,,,,,,,,,,,,,,,,10,,,,,7.48
-84.5224399,34.5360762,0,0,26,374.74,2018/04/15 19:40:13+00,,,,,,,,,,,,,,,,,10,,,,,7.54
-84.5226965,34.5363112,0,0,27,377.74,2018/04/15 19:40:18+00,,,,,,,,,,,,,,,,,11,,,,,8.75
-84.5228973,34.5365696,0,0,28,379.74,2018/04/15 19:40:22+00,,,,,,,,,,,,,,,,,9,,,,,8.85
-84.5230115,34.5367965,0,0,29,379.74,2018/04/15 19:40:25+00,,,,,,,,,,,,,,,,,10,,,,,8.76
-84.5230966,34.5371025,0,0,30,381.74,2018/04/15 19:40:29+00,,,,,,,,,,,,,,,,,11,,,,,8.07
-84.5230931,34.5372992,0,0,31,381.74,2018/04/15 19:40:33+00,,,,,,,,,,,,,,,,,10,,,,,4.55
-84.523125,34.537362,0,0,32,382.74,2018/04/15 19:40:37+00,,,,,,,,,,,,,,,,,10,,,,,0.64
-84.5231163,34.537367,0,0,33,384.74,2018/04/15 19:40:40+00,,,,,,,,,,,,,,,,,10,,,,,0.25
-84.5230963,34.5373802,0,0,34,381.74,2018/04/15 19:40:44+00,,,,,,,,,,,,,,,,,10,,,,,0.5
-84.5231307,34.5374127,0,0,35,384.74,2018/04/15 19:40:47+00,,,,,,,,,,,,,,,,,5,,,,,1.91
-84.523179,34.5375424,0,0,36,382.74,2018/04/15 19:40:50+00,,,,,,,,,,,,,,,,,5,,,,,4.52
-84.5232611,34.5377637,0,0,37,381.74,2018/04/15 19:40:54+00,,,,,,,,,,,,,,,,,5,,,,,7.06
-84.523353,34.5380047,0,0,38,379.74,2018/04/15 19:40:58+00,,,,,,,,,,,,,,,,,5,,,,,6.97
-84.5234839,34.5382592,0,0,39,379.74,2018/04/15 19:41:02+00,,,,,,,,,,,,,,,,,4,,,,,7.67
-84.5236996,34.5384777,0,0,40,378.74,2018/04/15 19:41:06+00,,,,,,,,,,,,,,,,,4,,,,,7.69
-84.5238312,34.5386889,0,0,41,379.74,2018/04/15 19:41:10+00,,,,,,,,,,,,,,,,,4,,,,,5.59
-84.5239304,34.5388973,0,0,42,379.74,2018/04/15 19:41:13+00,,,,,,,,,,,,,,,,,4,,,,,6.43
-84.5240151,34.5390596,0,0,43,380.74,2018/04/15 19:41:16+00,,,,,,,,,,,,,,,,,6,,,,,6.66
-84.5241082,34.5392334,0,0,44,381.74,2018/04/15 19:41:20+00,,,,,,,,,,,,,,,,,6,,,,,6.61
-84.5241868,34.5394652,0,0,45,379.74,2018/04/15 19:41:24+00,,,,,,,,,,,,,,,,,8,,,,,6.43
-84.5242699,34.5396904,0,0,46,380.74,2018/04/15 19:41:27+00,,,,,,,,,,,,,,,,,7,,,,,7.41
-84.5245284,34.5399386,0,0,47,382.74,2018/04/15 19:41:31+00,,,,,,,,,,,,,,,,,7,,,,,8.48
-84.5247671,34.5400753,0,0,48,383.74,2018/04/15 19:41:35+00,,,,,,,,,,,,,,,,,7,,,,,7.01
-84.5249789,34.5402419,0,0,49,385.74,2018/04/15 19:41:39+00,,,,,,,,,,,,,,,,,7,,,,,6.42
-84.5251266,34.5403443,0,0,50,390.74,2018/04/15 19:41:42+00,,,,,,,,,,,,,,,,,8,,,,,6.24
-84.5253345,34.5404987,0,0,51,392.74,2018/04/15 19:41:46+00,,,,,,,,,,,,,,,,,6,,,,,2.71
-84.5253893,34.5404479,0,0,52,394.74,2018/04/15 19:41:49+00,,,,,,,,,,,,,,,,,5,,,,,2.02
-84.5254262,34.5404122,0,0,53,396.74,2018/04/15 19:41:53+00,,,,,,,,,,,,,,,,,10,,,,,0.9
-84.5254134,34.5404325,0,0,54,395.74,2018/04/15 19:41:57+00,,,,,,,,,,,,,,,,,9,,,,,0.71
-84.5253762,34.5404703,0,0,55,394.74,2018/04/15 19:42:01+00,,,,,,,,,,,,,,,,,10,,,,,0.97
-84.5253819,34.540498,0,0,56,395.74,2018/04/15 19:42:05+00,,,,,,,,,,,,,,,,,4,,,,,0.55
-84.5253926,34.5404936,0,0,57,393.74,2018/04/15 19:42:08+00,,,,,,,,,,,,,,,,,4,,,,,1.16
-84.525403,34.5404774,0,0,58,393.74,2018/04/15 19:42:12+00,,,,,,,,,,,,,,,,,4,,,,,
-84.5253781,34.540485,0,0,59,394.74,2018/04/15 19:42:15+00,,,,,,,,,,,,,,,,,4,,,,,1.55
-84.5253971,34.5404808,0,0,60,395.74,2018/04/15 19:42:19+00,,,,,,,,,,,,,,,,,5,,,,,0.76
-84.525514,34.5405695,0,0,61,396.74,2018/04/15 19:42:22+00,,,,,,,,,,,,,,,,,6,,,,,4.14
-84.5256367,34.5407092,0,0,62,397.74,2018/04/15 19:42:26+00,,,,,,,,,,,,,,,,,5,,,,,5.15
-84.5256512,34.5408481,0,0,63,397.74,2018/04/15 19:42:29+00,,,,,,,,,,,,,,,,,5,,,,,4.64
-84.5255473,34.5409609,0,0,64,397.74,2018/04/15 19:42:32+00,,,,,,,,,,,,,,,,,4,,,,,5.43
-84.5254356,34.5410678,0,0,65,392.74,2018/04/15 19:42:35+00,,,,,,,,,,,,,,,,,4,,,,,5.28
-84.5254593,34.5412924,0,0,66,392.74,2018/04/15 19:42:38+00,,,,,,,,,,,,,,,,,5,,,,,6.56
-84.525561,34.5414992,0,0,67,393.74,2018/04/15 19:42:42+00,,,,,,,,,,,,,,,,,6,,,,,8.35
-84.5257413,34.5417187,0,0,68,392.74,2018/04/15 19:42:45+00,,,,,,,,,,,,,,,,,6,,,,,7.5
-84.5258522,34.5420098,0,0,69,393.74,2018/04/15 19:42:49+00,,,,,,,,,,,,,,,,,7,,,,,7.17
-84.525962,34.5421949,0,0,70,394.74,2018/04/15 19:42:53+00,,,,,,,,,,,,,,,,,7,,,,,7.37
-84.5261313,34.5424248,0,0,71,396.74,2018/04/15 19:42:57+00,,,,,,,,,,,,,,,,,5,,,,,6.94
-84.5261878,34.5425985,0,0,72,395.74,2018/04/15 19:43:00+00,,,,,,,,,,,,,,,,,7,,,,,7.42
-84.5260726,34.5428177,0,0,73,396.74,2018/04/15 19:43:04+00,,,,,,,,,,,,,,,,,6,,,,,5.6
-84.5259548,34.5429062,0,0,74,394.74,2018/04/15 19:43:07+00,,,,,,,,,,,,,,,,,5,,,,,2.82
-84.5258332,34.5429031,0,0,75,396.74,2018/04/15 19:43:10+00,,,,,,,,,,,,,,,,,4,,,,,3.78
-84.5256909,34.5429089,0,0,76,393.74,2018/04/15 19:43:13+00,,,,,,,,,,,,,,,,,3,,,,,4.2
-84.5255923,34.5430402,0,0,77,396.74,2018/04/15 19:43:17+00,,,,,,,,,,,,,,,,,3,,,,,4.38
-84.5255756,34.5431526,0,0,78,398.74,2018/04/15 19:43:21+00,,,,,,,,,,,,,,,,,4,,,,,2.2
-84.5256825,34.5431512,0,0,79,397.74,2018/04/15 19:43:24+00,,,,,,,,,,,,,,,,,3,,,,,3.38
-84.5257218,34.5430078,0,0,80,396.74,2018/04/15 19:43:28+00,,,,,,,,,,,,,,,,,3,,,,,4.3
-84.5257803,34.5428957,0,0,81,395.74,2018/04/15 19:43:32+00,,,,,,,,,,,,,,,,,3,,,,,3.35
-84.5258637,34.5429169,0,0,82,397.74,2018/04/15 19:43:35+00,,,,,,,,,,,,,,,,,3,,,,,2.37
-84.5258597,34.5429262,0,0,83,395.74,2018/04/15 19:43:39+00,,,,,,,,,,,,,,,,,3,,,,,
-84.5258692,34.5429406,0,0,84,395.74,2018/04/15 19:43:42+00,,,,,,,,,,,,,,,,,3,,,,,1.6
-84.5259033,34.5430756,0,0,85,396.74,2018/04/15 19:43:46+00,,,,,,,,,,,,,,,,,4,,,,,5.11
-84.5259949,34.5432976,0,0,86,396.74,2018/04/15 19:43:50+00,,,,,,,,,,,,,,,,,4,,,,,6.31
-84.5260765,34.5434376,0,0,87,395.74,2018/04/15 19:43:53+00,,,,,,,,,,,,,,,,,4,,,,,6.57
-84.5261536,34.5436809,0,0,88,394.74,2018/04/15 19:43:57+00,,,,,,,,,,,,,,,,,4,,,,,6.98
-84.5262564,34.5439407,0,0,89,396.74,2018/04/15 19:44:00+00,,,,,,,,,,,,,,,,,3,,,,,7.69
-84.5263595,34.5441273,0,0,90,397.74,2018/04/15 19:44:04+00,,,,,,,,,,,,,,,,,4,,,,,7.57
-84.5264984,34.5443865,0,0,91,399.74,2018/04/15 19:44:07+00,,,,,,,,,,,,,,,,,4,,,,,7.39
-84.5265673,34.5445774,0,0,92,399.74,2018/04/15 19:44:11+00,,,,,,,,,,,,,,,,,4,,,,,7.24
-84.5266524,34.5447737,0,0,93,395.74,2018/04/15 19:44:14+00,,,,,,,,,,,,,,,,,4,,,,,7.08
-84.5268808,34.544945,0,0,94,396.74,2018/04/15 19:44:19+00,,,,,,,,,,,,,,,,,5,,,,,5.86
-84.527129,34.5450225,0,0,95,394.74,2018/04/15 19:44:23+00,,,,,,,,,,,,,,,,,4,,,,,6.16
-84.5273256,34.5451057,0,0,96,394.74,2018/04/15 19:44:26+00,,,,,,,,,,,,,,,,,3,,,,,4.69
-84.5274129,34.5451529,0,0,97,394.74,2018/04/15 19:44:30+00,,,,,,,,,,,,,,,,,4,,,,,2.13
-84.5274207,34.5451656,0,0,98,395.74,2018/04/15 19:44:34+00,,,,,,,,,,,,,,,,,5,,,,,
