X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-122.2962779,47.6248225,0,0,0,,2018-07-04T18:05:24.782Z,,,,,,,,,,,,,,,,,,,,,
-122.296329,47.6248461,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
-122.2963466,47.6248328,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
-122.2964869,47.6248002,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
-122.2964159,47.6247987,0,0,4,,,,,,,,,,,,,,,,,,,,,,,
-122.296296,47.6248245,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
-122.2964981,47.6247768,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
-122.2962852,47.6248217,0,0,7,,,,,,,,,,,,,,,,,,,,,,,
-122.2962919,47.6248206,0,0,8,,,,,,,,,,,,,,,,,,,,,,,
-122.2962939,47.6248206,0,0,9,,,,,,,,,,,,,,,,,,,,,,,
-122.2959303,47.6251558,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
-122.2950665,47.625138,0,0,11,,,,,,,,,,,,,,,,,,,,,,,
-122.2945831,47.6251262,0,0,12,,,,,,,,,,,,,,,,,,,,,,,
-122.2943975,47.6252754,0,0,13,,,,,,,,,,,,,,,,,,,,,,,
-122.2943963,47.6252836,0,0,14,,,,,,,,,,,,,,,,,,,,,,,
-122.294394,47.6252827,0,0,15,,,,,,,,,,,,,,,,,,,,,,,
-122.2943957,47.6252727,0,0,16,,,,,,,,,,,,,,,,,,,,,,,
-122.2943924,47.6252917,0,0,17,,,,,,,,,,,,,,,,,,,,,,,
-122.2944039,47.6252887,0,0,18,,,,,,,,,,,,,,,,,,,,,,,
-122.2943764,47.6252793,0,0,19,,,,,,,,,,,,,,,,,,,,,,,
-122.2944093,47.6252636,0,0,20,,,,,,,,,,,,,,,,,,,,,,,
-122.2943862,47.6252906,0,0,21,,,,,,,,,,,,,,,,,,,,,,,
-122.2944055,47.6252819,0,0,22,,,,,,,,,,,,,,,,,,,,,,,
-122.2944462,47.6253356,0,0,23,,,,,,,,,,,,,,,,,,,,,,,
-122.2966085,47.6251462,0,0,24,,,,,,,,,,,,,,,,,,,,,,,
-122.2963012,47.6248156,0,0,25,,,,,,,,,,,,,,,,,,,,,,,
-122.2963552,47.6248026,0,0,26,,,,,,,,,,,,,,,,,,,,,,,
-122.2962809,47.6248199,0,0,27,,,,,,,,,,,,,,,,,,,,,,,
-122.2963357,47.6248248,0,0,28,,,,,,,,,,,,,,,,,,,,,,,
